,X Avg,Y Avf
T_173094,127.0190265,37.5029975
T_170219,127.0190368,37.48511509
T_174740,127.0193304,37.50896678
T_174545,127.0194241,37.48982827
T_174546,127.0194493,37.4897498
T_174737,127.0194793,37.50903095
T_174741,127.0194985,37.50799276
T_174739,127.0195291,37.5099091
T_174743,127.0195478,37.50581435
T_173910,127.0195923,37.50324121
T_174736,127.0195985,37.50806181
T_173765,127.0196324,37.49933833
T_174738,127.0196629,37.50996336
T_174550,127.0196711,37.4955487
T_174734,127.0197114,37.5058678
T_173770,127.0197144,37.49943582
T_174557,127.0197197,37.49542233
T_174678,127.0197308,37.48421474
T_174744,127.0197925,37.50488376
T_170272,127.0198177,37.48411897
T_174747,127.0198573,37.5106734
T_174733,127.0199064,37.50494746
T_174742,127.019909,37.50687562
T_174748,127.0199099,37.51055197
T_171768,127.0199502,37.51215176
T_174735,127.0200203,37.50693552
T_175068,127.0200373,37.51399935
T_173766,127.0200456,37.49824585
T_171776,127.0201295,37.51202441
T_173769,127.0201331,37.4983298
T_173111,127.0201408,37.4963309
T_173044,127.0201955,37.49624875
T_173917,127.020238,37.48267574
T_173920,127.0202844,37.4825243
T_175073,127.0202845,37.51408863
T_173911,127.0203094,37.50325436
T_170221,127.0203391,37.48542468
T_170220,127.0203618,37.48530676
T_173912,127.0203988,37.48612574
T_173915,127.0204343,37.4860026
T_175069,127.0204408,37.51275402
T_173767,127.0204567,37.4971589
T_173768,127.0205528,37.49722107
T_173909,127.0205664,37.50345583
T_174544,127.020569,37.49017559
T_174547,127.0206017,37.49009774
T_174766,127.0206433,37.49505424
T_174745,127.0206673,37.5039757
T_174677,127.02068,37.48496958
T_175072,127.0206851,37.51285553
T_174549,127.0207058,37.49586638
T_174765,127.0207549,37.49509871
T_174558,127.0207561,37.49573724
T_174732,127.0207832,37.5040324
T_174746,127.0208029,37.51096429
T_170273,127.020806,37.48492246
T_173110,127.0208063,37.49624419
T_174749,127.0208404,37.51084892
T_173116,127.0209062,37.49627988
T_175070,127.0209095,37.51157552
T_174767,127.021124,37.49379233
T_175071,127.0211599,37.51166401
T_173117,127.0211884,37.50317907
T_174764,127.0212325,37.49384565
T_173123,127.0212693,37.50319858
T_172455,127.021292,37.48552664
T_172456,127.0212955,37.48540669
T_174676,127.0213213,37.48586349
T_174716,127.0214061,37.51051319
T_170216,127.0214293,37.48591595
T_172510,127.0214633,37.50370242
T_173118,127.0214867,37.50252801
T_172529,127.0214987,37.49611152
T_172511,127.0215184,37.50355132
T_172530,127.0215626,37.49598606
T_173122,127.0215798,37.50255229
T_174768,127.0216063,37.49253548
T_174723,127.0216709,37.5105978
T_174673,127.0216969,37.4850253
T_174763,127.0217142,37.49258959
T_174543,127.0217229,37.49052563
T_174548,127.0217524,37.49044519
T_173791,127.021771,37.4865528
T_173792,127.0218032,37.48643055
T_181381,127.0218066,37.51127462
T_170276,127.0218109,37.4850622
T_173916,127.0218276,37.48290789
T_181382,127.0218426,37.51116182
T_173921,127.0218557,37.48275162
T_174717,127.0218929,37.50950617
T_173119,127.021934,37.50156756
T_173133,127.0220322,37.50159967
T_174769,127.0220458,37.49127384
T_172514,127.0220717,37.50236983
T_172515,127.022121,37.50229355
T_174674,127.0221342,37.48422041
T_174762,127.0221568,37.49131932
T_174722,127.0221621,37.50960707
T_170275,127.0222514,37.48424695
T_172509,127.0222983,37.50394798
T_172512,127.0223464,37.50378717
T_174718,127.0223888,37.50849323
T_173124,127.0224737,37.49004738
T_174675,127.0224836,37.48338879
T_173120,127.0225294,37.50029989
T_172528,127.0225719,37.49644443
T_173138,127.0225833,37.49008375
T_170274,127.022601,37.48341349
T_173132,127.0226274,37.50033873
T_172531,127.0226322,37.49631861
T_150063,127.0226519,37.50860626
T_173127,127.0228526,37.5036459
T_181380,127.0228677,37.51160422
T_174719,127.0228808,37.50748842
T_181383,127.0229085,37.51148455
T_172513,127.0229179,37.50261166
T_173125,127.0229186,37.48884224
T_173130,127.0229548,37.5036792
T_172516,127.0229656,37.5025235
T_173790,127.022998,37.48693469
T_173758,127.0230041,37.49090682
T_173137,127.0230254,37.48888452
T_173793,127.0230268,37.48681997
T_160783,127.0230283,37.4908252
T_173121,127.0231228,37.49903642
T_174720,127.0231408,37.50760584
T_173875,127.023156,37.50419851
T_173128,127.0231694,37.5029813
T_173876,127.0231911,37.50403567
T_173131,127.023224,37.49907493
T_172559,127.0232417,37.48295332
T_173129,127.0232666,37.50302297
T_173126,127.0233629,37.48763858
T_173922,127.0234017,37.48314827
T_174987,127.0234325,37.50636138
T_173136,127.0234693,37.48768067
T_173134,127.0236049,37.49801375
T_172517,127.0236238,37.50202386
T_165718,127.0236491,37.49677857
T_174988,127.0236847,37.50647976
T_179638,127.0237029,37.50756204
T_172532,127.0237034,37.49665167
T_173152,127.0237052,37.49805728
T_172522,127.0237182,37.50207228
T_179641,127.0237434,37.51121565
T_182282,127.0237783,37.50746835
T_182277,127.0238334,37.51129427
T_179675,127.0238354,37.51497074
T_181363,127.0238425,37.51190702
T_173661,127.0238686,37.49859203
T_181364,127.0238819,37.51178474
T_173662,127.0239169,37.49851034
T_179674,127.0239427,37.5150242
T_173135,127.0239717,37.49724002
T_173874,127.0240321,37.50445272
T_175049,127.0240553,37.50508939
T_173877,127.0240668,37.50430099
T_173151,127.0240749,37.49727783
T_175051,127.0241503,37.50551407
T_172518,127.0242184,37.50076814
T_179827,127.0242733,37.50623128
T_172521,127.0243129,37.5008204
T_179822,127.0243289,37.50612389
T_174585,127.0243491,37.49645598
T_179676,127.0243496,37.51386578
T_173990,127.024399,37.48737528
T_173757,127.024414,37.4913231
T_173991,127.0244344,37.48725898
T_173760,127.0244454,37.49124589
T_174588,127.0244508,37.49649253
T_179673,127.0244524,37.51393003
